profile,R,seed,step,score,raw_profit,hidden_norm,grad_hidden_rms
pure,4,29,50,4305.955450890174,4305.955450890174,51.885719353155864,0.5741291423610141
pure,4,29,100,4306.1939715556255,4306.1939715556255,55.971946201853584,0.3767362369647062
pure,4,29,150,4306.257264191891,4306.257264191891,58.65148586979841,0.4117384183531424
pure,4,29,200,4306.282956922617,4306.282956922617,60.65523811742538,0.5371730324045907
pure,4,29,250,4306.3038988240705,4306.3038988240705,62.24358394649352,0.39500007778809487
pure,4,29,300,4306.320014517039,4306.320014517039,63.54494628007358,0.34288555970440754
pure,4,29,350,4306.319308497213,4306.319308497213,64.63442714725426,0.6044472565990181
pure,4,29,400,4306.32563207324,4306.32563207324,65.54912062167628,0.5519963763135323
pure,4,29,450,4306.333826762851,4306.333826762851,66.3543697924341,0.41293577356527283
pure,4,29,500,4306.33522334642,4306.33522334642,67.04011457478614,0.39507016436772086
