品类,方法,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差
茄类,同星期近8次中位数,2023-04-07,7,0.21511852786102575,1.2544360835550938
茄类,近180日趋势加星期,2023-04-07,7,0.3198750342904419,1.8653102047146
茄类,近7日均值,2023-05-12,7,0.2830657074528919,1.2477449565815941
茄类,近14日均值,2023-05-12,7,0.22393568433902475,0.9871016282647609
茄类,指数加权移动平均,2023-05-12,7,0.14198592978100272,0.6258696236430479
茄类,同星期近8次中位数,2023-05-12,7,0.27840666653988017,1.2272080471338642
茄类,近180日趋势加星期,2023-05-12,7,0.5511926855327911,2.4296404522708235
茄类,近7日均值,2023-06-16,7,0.12186751875736032,0.5656409163547592
茄类,近14日均值,2023-06-16,7,0.1321224870535563,0.6132387481921204
茄类,指数加权移动平均,2023-06-16,7,0.10275700770961588,0.4769406039887043
茄类,同星期近8次中位数,2023-06-16,7,0.04721186518014035,0.2191310937944165
茄类,近180日趋势加星期,2023-06-16,7,0.04616068028341861,0.21425208095897993
辣椒类,近7日均值,2022-10-14,7,0.09871684265358012,0.31966510277876264
辣椒类,近14日均值,2022-10-14,7,0.09560195270605627,0.3095784591174175
辣椒类,指数加权移动平均,2022-10-14,7,0.0949313184446601,0.30740680973790413
辣椒类,同星期近8次中位数,2022-10-14,7,0.09270237668101626,0.30018904548602804
辣椒类,近180日趋势加星期,2022-10-14,7,0.1750434063656962,0.5668259537330907
辣椒类,近7日均值,2022-11-18,7,0.20228603033515033,0.3187383710439651
辣椒类,近14日均值,2022-11-18,7,0.40105084412992814,0.6319284260608081
辣椒类,指数加权移动平均,2022-11-18,7,0.20771118492197216,0.3272866871723715
辣椒类,同星期近8次中位数,2022-11-18,7,0.9478166629938238,1.4934572531303598
辣椒类,近180日趋势加星期,2022-11-18,7,0.576265612771361,0.9080111088199009
辣椒类,近7日均值,2022-12-23,7,0.07138696881097172,0.09570868892475971
辣椒类,近14日均值,2022-12-23,7,0.07200268008029738,0.0965341745746603
辣椒类,指数加权移动平均,2022-12-23,7,0.08363348179056747,0.11212761972823457
辣椒类,同星期近8次中位数,2022-12-23,7,0.269194483806251,0.36090972260071563
辣椒类,近180日趋势加星期,2022-12-23,7,0.07299953775787762,0.09787066417430168
辣椒类,近7日均值,2023-01-27,7,0.3387038590861769,1.2059200032800537
辣椒类,近14日均值,2023-01-27,7,0.4250832087930252,1.513464729705235
辣椒类,指数加权移动平均,2023-01-27,7,0.26179329280736763,0.9320878993605808
辣椒类,同星期近8次中位数,2023-01-27,7,0.5378998591279408,1.9151367263248873
辣椒类,近180日趋势加星期,2023-01-27,7,0.24834649418042626,0.884211965829568
辣椒类,近7日均值,2023-03-03,7,0.07594245733656639,0.33120522905496
辣椒类,近14日均值,2023-03-03,7,0.07479291662837736,0.32619177667381855
辣椒类,指数加权移动平均,2023-03-03,7,0.07210937602585829,0.31448814327680363
辣椒类,同星期近8次中位数,2023-03-03,7,0.13264370315199822,0.5784944236193716
辣椒类,近180日趋势加星期,2023-03-03,7,0.2544498435753252,1.1097233573950438
辣椒类,近7日均值,2023-04-07,7,0.04749505532644372,0.20139537146080716
辣椒类,近14日均值,2023-04-07,7,0.03428266375736804,0.1453702865409014
辣椒类,指数加权移动平均,2023-04-07,7,0.05093905397238166,0.2159991103519799
辣椒类,同星期近8次中位数,2023-04-07,7,0.041735704356574733,0.1769737423043058
辣椒类,近180日趋势加星期,2023-04-07,7,0.043349178648440734,0.18381542828865488
辣椒类,近7日均值,2023-05-12,7,0.06596233448583913,0.259513370047927
辣椒类,近14日均值,2023-05-12,7,0.0732233296379681,0.28808005642309126
辣椒类,指数加权移动平均,2023-05-12,7,0.06189330497812586,0.2435047255904173
辣椒类,同星期近8次中位数,2023-05-12,7,0.0795169046088614,0.31284065446857795
辣椒类,近180日趋势加星期,2023-05-12,7,0.25853444146851223,1.0171432636811204
辣椒类,近7日均值,2023-06-16,7,0.1281203709344515,0.4085018467579761
辣椒类,近14日均值,2023-06-16,7,0.15617920245968792,0.4979652506829787
辣椒类,指数加权移动平均,2023-06-16,7,0.14447358744267455,0.46064280682013437
辣椒类,同星期近8次中位数,2023-06-16,7,0.1902697402569976,0.6066602813451861
辣椒类,近180日趋势加星期,2023-06-16,7,0.38789777956899674,1.2367819274291885
食用菌,近7日均值,2022-10-14,7,0.09919376835700705,0.384133873667154
食用菌,近14日均值,2022-10-14,7,0.18492253396640365,0.71612370895316
食用菌,指数加权移动平均,2022-10-14,7,0.09075021616563682,0.3514357065896783
食用菌,同星期近8次中位数,2022-10-14,7,0.3604023444568991,1.3956798995344653
食用菌,近180日趋势加星期,2022-10-14,7,0.23562005696722793,0.9124529362645507
食用菌,近7日均值,2022-11-18,7,0.10099831963513733,0.3407542820040398
食用菌,近14日均值,2022-11-18,7,0.11232440699682376,0.37896692535086834
食用菌,指数加权移动平均,2022-11-18,7,0.11408490830991488,0.38490661190284964
食用菌,同星期近8次中位数,2022-11-18,7,0.1821294329287458,0.6144793732572807
食用菌,近180日趋势加星期,2022-11-18,7,0.24211970369593674,0.8168782024293885
食用菌,近7日均值,2022-12-23,7,0.06705284215498734,0.25727384128317005
食用菌,近14日均值,2022-12-23,7,0.06506391564646247,0.24964256501757395
食用菌,指数加权移动平均,2022-12-23,7,0.07207968843926188,0.27656125717086705
食用菌,同星期近8次中位数,2022-12-23,7,0.07748117510981989,0.2972861240029427
食用菌,近180日趋势加星期,2022-12-23,7,0.04624551874665097,0.17743859719746125
