品类,模型,验证截止日,WAPE,MAE,RMSE
茄类,时间基准需求（星期和月份）,2023-01-27,0.42069418963868244,7.060570683875956,7.925092734949401
茄类,时间基准需求（星期和月份）,2023-03-03,0.7450005762140647,8.318782862659992,8.540992633845734
茄类,时间基准需求（星期和月份）,2023-04-07,0.5443266749024183,7.703466625126139,8.150295838161275
茄类,时间基准需求（星期和月份）,2023-05-12,0.44598909623916755,9.115379999848242,10.135817903943158
茄类,时间基准需求（星期和月份）,2023-06-16,0.22425854101083278,7.284141670572859,8.261222407030365
茄类,时间基准需求（星期、月份和趋势）,2022-10-14,0.7088991502327876,8.478737650705668,11.939630723491502
茄类,时间基准需求（星期、月份和趋势）,2022-11-18,0.7844836399399601,14.606300892042116,22.123063498125955
茄类,时间基准需求（星期、月份和趋势）,2022-12-23,0.3194229276625716,2.4587808016060495,2.954839092756227
茄类,时间基准需求（星期、月份和趋势）,2023-01-27,0.2071826108565977,3.477175355522116,5.465972092075583
茄类,时间基准需求（星期、月份和趋势）,2023-03-03,0.18136372352342212,2.025133245965892,2.238169608560145
茄类,时间基准需求（星期、月份和趋势）,2023-04-07,0.16645422575012983,2.3557077611660517,2.784069099798128
茄类,时间基准需求（星期、月份和趋势）,2023-05-12,0.25438518792081893,5.199269833690224,5.499210944837915
茄类,时间基准需求（星期、月份和趋势）,2023-06-16,0.29247068806054444,9.499740418894543,13.190711002610533
辣椒类,时间基准需求（星期和月份）,2022-10-14,0.6188053666467969,110.44588465215361,146.0730334105209
辣椒类,时间基准需求（星期和月份）,2022-11-18,0.7174221534928625,140.96248685128697,189.26773775206487
辣椒类,时间基准需求（星期和月份）,2022-12-23,0.5228415800554662,64.91242538028058,66.92520215258784
辣椒类,时间基准需求（星期和月份）,2023-01-27,0.3948782342815885,68.79094743772698,72.76064006377497
辣椒类,时间基准需求（星期和月份）,2023-03-03,0.2364083327277295,28.129180560084738,31.576139736084556
辣椒类,时间基准需求（星期和月份）,2023-04-07,0.18294772902517084,17.903944282539594,21.979606076807396
辣椒类,时间基准需求（星期和月份）,2023-05-12,0.19946570824926912,17.064918232950898,21.568958471799085
辣椒类,时间基准需求（星期和月份）,2023-06-16,0.4022213549370671,43.48512750553689,50.71436291683566
辣椒类,时间基准需求（星期、月份和趋势）,2022-10-14,0.6004455330558214,107.16897696466901,143.58713417776787
辣椒类,时间基准需求（星期、月份和趋势）,2022-11-18,0.6748141125336697,132.590658097146,182.60470160497036
辣椒类,时间基准需求（星期、月份和趋势）,2022-12-23,0.42620771909004185,52.91502783500297,55.408531158640464
辣椒类,时间基准需求（星期、月份和趋势）,2023-01-27,0.22768244881448108,39.664104043073124,46.4029445172417
辣椒类,时间基准需求（星期、月份和趋势）,2023-03-03,0.09123319048973691,10.855433303673054,15.189571410819395
辣椒类,时间基准需求（星期、月份和趋势）,2023-04-07,0.10682565272540903,10.454355156704365,12.029744760332356
辣椒类,时间基准需求（星期、月份和趋势）,2023-05-12,0.13588597879559283,11.625472556182038,14.781344757538408
辣椒类,时间基准需求（星期、月份和趋势）,2023-06-16,0.24264499693301678,26.232939899135282,34.045632436144935
食用菌,时间基准需求（星期和月份）,2022-10-14,0.540849364026809,90.86052975904782,109.695726931484
食用菌,时间基准需求（星期和月份）,2022-11-18,0.6849130751771488,109.78765216189593,162.96529922296952
食用菌,时间基准需求（星期和月份）,2022-12-23,0.2421931272762162,30.89941436611785,32.30116913750215
食用菌,时间基准需求（星期和月份）,2023-01-27,0.2411893460193227,29.196521625572775,33.04914437572938
食用菌,时间基准需求（星期和月份）,2023-03-03,0.33517107807586005,23.855753600466755,26.575712492226966
食用菌,时间基准需求（星期和月份）,2023-04-07,0.4338871578243032,32.5400492237102,37.364714824088836
食用菌,时间基准需求（星期和月份）,2023-05-12,0.44997731465392005,30.71455154364728,32.88915494532779
食用菌,时间基准需求（星期和月份）,2023-06-16,0.2907745553707048,18.45014400893757,22.547189949210622
食用菌,时间基准需求（星期、月份和趋势）,2022-10-14,0.6327128171523458,106.29322243032549,123.4673484705671
食用菌,时间基准需求（星期、月份和趋势）,2022-11-18,0.6841356550616495,109.66303615978207,168.33460042506823
食用菌,时间基准需求（星期、月份和趋势）,2022-12-23,0.31948341985580264,40.76024239106591,41.700153665900224
食用菌,时间基准需求（星期、月份和趋势）,2023-01-27,0.26670041054063925,32.28469429688276,36.64142387798527
食用菌,时间基准需求（星期、月份和趋势）,2023-03-03,0.35235664231499403,25.07893368010651,27.733498924253336
食用菌,时间基准需求（星期、月份和趋势）,2023-04-07,0.40935010846699504,30.69985464893846,35.63542688548657
食用菌,时间基准需求（星期、月份和趋势）,2023-05-12,0.39725370310300573,27.115743266404966,29.333087254972174
食用菌,时间基准需求（星期、月份和趋势）,2023-06-16,0.21070070671401867,13.369321042215995,18.067140421115592
