品类,价格响应模型,含时间趋势,验证截止日,WAPE,MAE,RMSE,价格系数
水生根茎类,半对数,否,2022-11-18,0.7494473755839031,73.52710431551796,110.21231017940904,-0.06803373492050133
水生根茎类,半对数,否,2022-12-23,0.2526980476118105,17.24992682412502,18.987853171836097,-0.06759836095756408
水生根茎类,半对数,否,2023-01-27,0.691892045859832,31.12674051742128,34.69833293001621,-0.06619798544080366
水生根茎类,半对数,否,2023-03-03,0.5359565103306824,12.171572349609798,13.080208942406633,-0.05952632464661589
水生根茎类,半对数,否,2023-04-07,0.3678722725214798,7.177923781439114,8.525482877532383,-0.05975008876850518
水生根茎类,半对数,否,2023-05-12,0.2934345931529028,3.5613737378691885,5.089250473300646,-0.06057040385155571
水生根茎类,半对数,否,2023-06-16,0.3115689881320636,5.3483487404195555,8.337864783197475,-0.05818359654847796
水生根茎类,半对数,是,2022-10-14,0.38935338721247503,23.384842545543545,30.446785935556143,-0.06402982766995635
水生根茎类,半对数,是,2022-11-18,0.7024495194441807,68.91621850342374,107.04786869293021,-0.06235489917024456
水生根茎类,半对数,是,2022-12-23,0.1871562555868606,12.775847475125866,16.04126311524921,-0.06162327426137337
水生根茎类,半对数,是,2023-01-27,0.99148449741625,44.604762929119765,48.08684263750628,-0.059830194201698605
水生根茎类,半对数,是,2023-03-03,0.7796579457593353,17.706031948194504,18.71901134808817,-0.05257286914347126
水生根茎类,半对数,是,2023-04-07,0.3302871966492628,6.444563781020416,7.29955184704233,-0.05353188453725022
水生根茎类,半对数,是,2023-05-12,0.24050663022712687,2.9189946129766065,4.209086441950905,-0.053500196521292814
水生根茎类,半对数,是,2023-06-16,0.3174145961953862,5.448693613347686,7.808688289165912,-0.04987434140497965
水生根茎类,对数-对数,否,2022-10-14,0.44341160575732474,26.631617764360467,33.39924099595182,-0.798813780635991
水生根茎类,对数-对数,否,2022-11-18,0.7466744330835284,73.2550552842873,109.9918381790362,-0.8024365260902331
水生根茎类,对数-对数,否,2022-12-23,0.2599390100723011,17.744216644565487,19.499484178100122,-0.787859281775652
水生根茎类,对数-对数,否,2023-01-27,0.744524794639863,33.49457510057321,36.448036936512096,-0.7556113896436323
水生根茎类,对数-对数,否,2023-03-03,0.5586889711205933,12.687826534148673,13.976950021932355,-0.6387461066461835
水生根茎类,对数-对数,否,2023-04-07,0.3697518080430345,7.214597278535689,8.589834551006986,-0.639975737712452
水生根茎类,对数-对数,否,2023-05-12,0.2911845187794812,3.5340649066381666,4.9634809197869085,-0.6492640752004717
水生根茎类,对数-对数,否,2023-06-16,0.310592188581732,5.331581138881356,8.138920800592055,-0.625077520501997
水生根茎类,对数-对数,是,2022-10-14,0.39648319145809696,23.813063681252917,30.978921369640403,-0.7421601835773602
水生根茎类,对数-对数,是,2022-11-18,0.707791312341909,69.44029341037388,107.36876178849165,-0.7006235698809006
水生根茎类,对数-对数,是,2022-12-23,0.20035852678028965,13.677074113602913,16.251856118688572,-0.6790199265928063
水生根茎类,对数-对数,是,2023-01-27,0.9946580513896272,44.7475343219092,47.853357492265175,-0.6420955014561629
水生根茎类,对数-对数,是,2023-03-03,0.7642583895765211,17.356308027282797,18.593203683208912,-0.531061772901656
水生根茎类,对数-对数,是,2023-04-07,0.33523042696700217,6.541016090980146,7.440246427543038,-0.5437574096942369
水生根茎类,对数-对数,是,2023-05-12,0.2365941837278425,2.8715098087357203,4.005548790976008,-0.5364495978599211
水生根茎类,对数-对数,是,2023-06-16,0.3106466345932376,5.332515751336861,7.55014218237437,-0.49635790662940704
茄类,半对数,否,2022-10-14,1.0732038111574174,12.835977525933206,14.127754966550349,-0.0701714882096881
茄类,半对数,否,2022-11-18,0.7344223720346701,13.58377127567154,19.642009618340854,-0.06082641809236751
茄类,半对数,否,2022-12-23,0.38216421520507887,2.941736343985038,3.5596727184001984,-0.05036452437409156
茄类,半对数,否,2023-01-27,0.36801974332892523,6.176527926538399,7.391531848939092,-0.03632926238794231
茄类,半对数,否,2023-03-03,0.594247659048659,6.90600672337263,7.132729504800062,-0.03941690801441569
茄类,半对数,否,2023-04-07,0.6068862496125783,8.520162756346647,8.870561332750277,-0.03974098157571988
茄类,半对数,否,2023-05-12,0.3285195051712947,6.714469372122447,8.163162685244517,-0.039982055439882404
茄类,半对数,否,2023-06-16,0.22037603743725379,7.15803407199944,8.438563364789234,-0.04012014497347423
茄类,半对数,是,2022-10-14,0.7118216757225834,8.51369230807455,12.022875054160846,-0.02442842206918673
茄类,半对数,是,2022-11-18,0.7797139393896845,14.421477635245978,21.724015672472795,-0.01640223418590113
茄类,半对数,是,2022-12-23,0.331560481905196,2.552210492356811,3.1567146776606094,-0.01645663653164823
茄类,半对数,是,2023-01-27,0.210981512741076,3.5409328685495844,5.621832940596571,-0.0066955049617137136
茄类,半对数,是,2023-03-03,0.16247909561950472,1.8882392040923872,2.080885141765043,-0.006121724978854208
茄类,半对数,是,2023-04-07,0.1618868795056385,2.272753028076731,2.659780784282454,-0.00919643513450593
茄类,半对数,是,2023-05-12,0.24996397718737967,5.108906602314058,5.8799567652656455,-0.01553069475526464
茄类,半对数,是,2023-06-16,0.2938632165287295,9.544971136069663,13.173590274618212,-0.015596807228964386
茄类,对数-对数,否,2022-10-14,1.036040308836959,12.391486110965245,13.831626536209253,-0.6992916916176853
茄类,对数-对数,否,2022-11-18,0.7360363810429097,13.613623755715224,19.549176810527523,-0.6137005607560454
茄类,对数-对数,否,2022-12-23,0.3797025748640853,2.922787691628787,3.5459239100048534,-0.46786873416213265
