品类,方法,回测WAPE,回测MAE,路径变化误差,方向命中率,预测波动比中位数,回测次数,是否动态,距最优WAPE,是否入选,综合路径评分
茄类,近7日均值+近周形状rho=0.15,0.13347152994600456,0.7625797949242211,0.04677581641715313,0.5357142857142857,0.16705482250837977,8,是,0.041280180383688594,否,0.15685943815458112
茄类,近7日均值,0.1335669073929838,0.7631247269706827,0.047798564687894195,0.08928571428571427,0.0,8,否,0.04137555783066783,否,0.15746618973693088
茄类,近7日均值+近周形状rho=0.30,0.13416837013642632,0.7665611402322563,0.049363781003712616,0.5535714285714286,0.33410964501675866,8,是,0.04197702057411036,否,0.15885026063828264
茄类,近7日均值+近周形状rho=0.45,0.1353142259505145,0.7731079033664886,0.05407257426724576,0.5535714285714286,0.5011644675251383,8,是,0.04312287638819855,否,0.1623505130841374
茄类,近7日均值+近周形状rho=0.60,0.13680526115553465,0.7816268236285777,0.059109325509199194,0.5714285714285714,0.6682192900335164,8,是,0.04461391159321869,否,0.16635992391013424
茄类,近21日阻尼趋势,0.16336321717211008,0.9333637570474101,0.04874469407033823,0.5,0.3413320029677518,8,是,0.07117186760979412,否,0.1877355642072792
辣椒类,指数加权移动平均,0.11452933128850369,0.36419297525480326,0.08710377456569154,0.05357142857142857,0.0,8,否,0.0,是,0.15808121857134946
辣椒类,指数加权移动平均+近周形状rho=0.15,0.11455838112625205,0.3642853511267412,0.08949717035531961,0.37499999999999994,0.13097390284186233,8,是,2.9049837748360008e-05,否,0.15930696630391186
辣椒类,指数加权移动平均+近周形状rho=0.30,0.11499348872552792,0.36566895416845524,0.09575475488438881,0.37499999999999994,0.2619478056837249,8,是,0.00046415743702422907,否,0.16287086616772234
辣椒类,指数加权移动平均+近周形状rho=0.45,0.11611147987385821,0.36922406549267384,0.10348934727951416,0.37499999999999994,0.3929217085255874,8,是,0.0015821485853545203,否,0.1678561535136153
辣椒类,指数加权移动平均+近周形状rho=0.60,0.11880553558990745,0.3777909204257444,0.11223215836485712,0.3928571428571428,0.52389561136745,8,是,0.004276204301403755,否,0.174921614772336
辣椒类,近7日均值,0.12345663486985012,0.3925809979186514,0.08979210440391198,0.07142857142857142,5.155189712188342e-16,8,否,0.008927303581346427,否,0.16835268707180612
辣椒类,近7日均值+近周形状rho=0.15,0.12413274664746632,0.3947309725768863,0.09231356027645829,0.3928571428571428,0.13217147101154478,8,是,0.009603415358962628,否,0.17028952678569548
辣椒类,近7日均值+近周形状rho=0.30,0.12480885842508262,0.3968809472351213,0.09898520462335239,0.3928571428571428,0.26434294202309006,8,是,0.010279527136578925,否,0.1743014607367588
辣椒类,近21日阻尼趋势,0.12596852760194308,0.400568590942463,0.08696313868655964,0.4821428571428571,0.14252001011787127,8,是,0.011439196313439384,否,0.1694500969452229
辣椒类,近7日均值+近周形状rho=0.45,0.12640751309496875,0.4019645253376092,0.10686293396445266,0.3928571428571428,0.3965144130346353,8,是,0.011878181806465063,否,0.1798389800771951
辣椒类,近7日均值+近周形状rho=0.60,0.12842487531268354,0.408379555792868,0.11554704699587914,0.3928571428571428,0.5286858840461801,8,是,0.013895544024179848,否,0.1861983988106231
辣椒类,近14日均值+近周形状rho=0.15,0.14903293323881348,0.47391132696364724,0.09866423063701805,0.37499999999999994,0.1335587372333722,8,是,0.034503601950309784,否,0.1983650485573225
辣椒类,近14日均值,0.14973352474965274,0.47613914497236387,0.09600394188538755,0.03571428571428571,0.0,8,否,0.035204193461149044,否,0.1977354956923465
