口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
全量有效,辣椒类,对数需求（星期、月份和趋势）,2023-04-07,7,0.06716408961133023,6.572927275983332,8.841148165148846,-0.6214028692140016
全量有效,辣椒类,对数需求（星期、月份和趋势）,2023-05-12,7,0.20386444987557711,17.441244403698086,21.131166705461286,-0.5886337800097443
全量有效,辣椒类,对数需求（星期、月份和趋势）,2023-06-16,7,0.3290625498343029,35.57575141449323,43.093375615832,-0.5374353799174533
全量有效,食用菌,对数需求（星期和月份）,2022-10-14,7,0.4879617567219581,81.97562328226206,102.18436492263358,-0.2760349922193099
全量有效,食用菌,对数需求（星期和月份）,2022-11-18,7,0.6619806502674531,106.11171549129976,158.65852074235983,-0.3754728381862139
全量有效,食用菌,对数需求（星期和月份）,2022-12-23,7,0.20331731215454213,25.93957122864018,27.800829290745718,-0.3753362711450949
全量有效,食用菌,对数需求（星期和月份）,2023-01-27,7,0.20426180873392275,24.726358831375595,27.996892671360865,-0.3961807470823722
全量有效,食用菌,对数需求（星期和月份）,2023-03-03,7,0.2821431205192317,20.081496296796242,23.180079829892673,-0.41889735538321515
全量有效,食用菌,对数需求（星期和月份）,2023-04-07,7,0.3128323630740475,23.461354662451594,29.050849947046974,-0.5025768811890228
全量有效,食用菌,对数需求（星期和月份）,2023-05-12,7,0.3238517889366596,22.105475409238515,24.676740143997897,-0.6143868089680329
全量有效,食用菌,对数需求（星期和月份）,2023-06-16,7,0.1826201166319381,11.587559463353557,15.943394515962929,-0.662684395655484
全量有效,食用菌,对数需求（星期、月份和趋势）,2022-10-14,7,0.5876063403271989,98.71551474960812,116.85395517060975,-0.6159674005312267
全量有效,食用菌,对数需求（星期、月份和趋势）,2022-11-18,7,0.6522677159943785,104.55478762980748,168.09012494913281,-0.6788497982191992
全量有效,食用菌,对数需求（星期、月份和趋势）,2022-12-23,7,0.3491791403442538,44.548873317931914,45.57216053412845,-0.6734509047984981
全量有效,食用菌,对数需求（星期、月份和趋势）,2023-01-27,7,0.27245475811918674,32.98127122406039,37.6740077995655,-0.6133736694769459
全量有效,食用菌,对数需求（星期、月份和趋势）,2023-03-03,7,0.37001160618988715,26.335523211764333,29.13536256958576,-0.6074994252783523
全量有效,食用菌,对数需求（星期、月份和趋势）,2023-04-07,7,0.34384499281474007,25.787195563987286,31.178561808764155,-0.6231349650369508
全量有效,食用菌,对数需求（星期、月份和趋势）,2023-05-12,7,0.34655404109415916,23.65508573700512,26.2129428986404,-0.7134127473462604
全量有效,食用菌,对数需求（星期、月份和趋势）,2023-06-16,7,0.18863477788657304,11.96920003080801,16.874121103648175,-0.7443736518298855
