口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
正常销售,花菜类,对数需求（星期和月份）,2023-01-27,7,0.18183796959784956,7.474293879202807,9.148797685597753,-1.1644879698441686
正常销售,花菜类,对数需求（星期和月份）,2023-03-03,7,0.26811387593698705,6.289530207676672,8.960137449635484,-1.1567833751900485
正常销售,花菜类,对数需求（星期和月份）,2023-04-07,7,0.16050779138407584,3.196398016991453,3.767442294131076,-1.1228530041490912
正常销售,花菜类,对数需求（星期和月份）,2023-05-12,7,0.22110462764308547,6.169040215869728,7.194195649396856,-1.081132124230378
正常销售,花菜类,对数需求（星期和月份）,2023-06-16,7,0.1938229178488152,3.3243122420015574,4.79127898688876,-1.0556251305211943
正常销售,花菜类,对数需求（星期、月份和趋势）,2022-10-14,7,0.34872098944812285,16.956259208209733,26.250539781246385,-1.1402076419902472
正常销售,花菜类,对数需求（星期、月份和趋势）,2022-11-18,7,0.4541043932583004,32.34099052757525,47.805886274507664,-1.1967099225206752
正常销售,花菜类,对数需求（星期、月份和趋势）,2022-12-23,7,0.14283120512921368,5.191118532589769,5.565269057664771,-1.1657685985981259
正常销售,花菜类,对数需求（星期、月份和趋势）,2023-01-27,7,0.18975536610102278,7.799731676125883,10.298629215656065,-1.1370550446123817
正常销售,花菜类,对数需求（星期、月份和趋势）,2023-03-03,7,0.33688803339594997,7.902863867987935,9.975260697683414,-1.12549381430546
正常销售,花菜类,对数需求（星期、月份和趋势）,2023-04-07,7,0.14299232758179395,2.8475900664145826,3.9916263688476215,-1.0974166459528318
正常销售,花菜类,对数需求（星期、月份和趋势）,2023-05-12,7,0.2461829900736047,6.868751606043645,8.202288236018857,-1.0566336194855304
正常销售,花菜类,对数需求（星期、月份和趋势）,2023-06-16,7,0.17987505965637493,3.085088541040674,4.458538740085811,-1.0286072453846975
正常销售,水生根茎类,对数需求（星期和月份）,2022-10-14,7,0.44341160575732436,26.631617764360442,33.399240995951814,-0.7988137806359901
正常销售,水生根茎类,对数需求（星期和月份）,2022-11-18,7,0.7466744330835284,73.2550552842873,109.9918381790362,-0.8024365260902324
正常销售,水生根茎类,对数需求（星期和月份）,2022-12-23,7,0.25993901007230114,17.74421664456549,19.499484178100115,-0.787859281775649
正常销售,水生根茎类,对数需求（星期和月份）,2023-01-27,7,0.7445247946398607,33.4945751005731,36.448036936511976,-0.7556113896436316
正常销售,水生根茎类,对数需求（星期和月份）,2023-03-03,7,0.5586889711205939,12.687826534148687,13.976950021932383,-0.6387461066461829
