品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差
花菜类,含时间趋势,2023-04-07,7,0.14913621497960472,3.3151489227816326,4.411989236253916
花菜类,含时间趋势,2023-05-12,7,0.19388720582921862,5.685132951152086,6.5312132089404695
花菜类,含时间趋势,2023-06-16,7,0.19250616333450848,3.3017282091111078,4.739061233482157
水生根茎类,不含趋势,2022-10-14,7,0.2489398484188858,16.206659825943746,22.192413462224696
水生根茎类,不含趋势,2022-11-18,7,0.6272126512888841,61.42589180036221,100.87267141940374
水生根茎类,不含趋势,2022-12-23,7,0.25862574184833087,17.9049926269709,19.800787283566645
水生根茎类,不含趋势,2023-01-27,7,0.5595196231118693,25.97090262048471,28.92313887674022
水生根茎类,不含趋势,2023-03-03,7,0.3886231179667782,9.170339714662063,10.112021511259035
水生根茎类,不含趋势,2023-04-07,7,0.3832407803318411,7.486170654319281,8.665015718687417
水生根茎类,不含趋势,2023-05-12,7,0.31876716889724827,3.868831590738917,5.2746740509359835
水生根茎类,不含趋势,2023-06-16,7,0.4021737010680349,8.835813665850592,12.854021687917674
水生根茎类,含时间趋势,2022-10-14,7,0.2483279183076375,16.166821514748325,19.235016883427825
水生根茎类,含时间趋势,2022-11-18,7,0.5771896111283124,56.5268996545338,95.64486657931711
水生根茎类,含时间趋势,2022-12-23,7,0.18373716764588247,12.720360349625704,15.89787654776366
水生根茎类,含时间趋势,2023-01-27,7,0.8355649088852818,38.7839389100659,41.720894520161856
水生根茎类,含时间趋势,2023-03-03,7,0.6342608519297583,14.966653322986504,15.791822367754888
水生根茎类,含时间趋势,2023-04-07,7,0.31268521153122597,6.107948252735036,7.025263131187145
水生根茎类,含时间趋势,2023-05-12,7,0.23994507399846773,2.912179085251689,4.003563102634323
水生根茎类,含时间趋势,2023-06-16,7,0.31628675719466026,6.948865239389142,11.423265629065789
茄类,不含趋势,2022-10-14,7,1.0318788411629785,12.341713174098292,13.772351824402445
茄类,不含趋势,2022-11-18,7,0.7344856507421733,13.675388331168524,19.920266406601765
茄类,不含趋势,2022-12-23,7,0.45965083339540524,3.5381951222635175,4.095601899347952
茄类,不含趋势,2023-01-27,7,0.3808270777147026,6.391475249154098,7.472698672408786
茄类,不含趋势,2023-03-03,7,0.6681815299572401,7.461010418006824,7.638430537650669
茄类,不含趋势,2023-04-07,7,0.5739252981719964,8.122354798386715,8.521976130593242
茄类,不含趋势,2023-05-12,7,0.46505758568862543,9.505112683495948,10.459318141912858
茄类,不含趋势,2023-06-16,7,0.21843000609325716,7.0948250279150855,8.66929184323578
茄类,含时间趋势,2022-10-14,7,0.7233872542588274,8.652021584044544,12.00264130065478
茄类,含时间趋势,2022-11-18,7,0.7761630349325458,14.45137954740907,21.893397041051426
茄类,含时间趋势,2022-12-23,7,0.317957203225511,2.4474982830571728,2.925703418485786
茄类,含时间趋势,2023-01-27,7,0.20786199827703405,3.488577611654645,5.492882004925364
