品类,价格口径,价格响应模型,样本数,价格响应系数,FWL系数,稳健标准误7,稳健标准误14,稳健概率值,百分之九十区间下限,百分之九十区间上限,百分之九十五区间下限,百分之九十五区间上限,百分之七自助法标准差,百分之十四自助法标准差,百分之七自助法负向比例,百分之十四自助法负向比例,加成有效四分位距,售价有效四分位距
水生根茎类,固定篮子,对数加成,1084,-1.1907067501418034,-1.1907067501416857,0.303052623440173,0.3439588855410255,8.528463504782842e-05,-1.7438324755881345,-0.6375810246954722,-1.8497501676948789,-0.5316633325887279,0.336246641608712,0.391234082700248,1.0,1.0,0.1826932552435599,3.475503032155152
水生根茎类,固定篮子,半对数售价偏离,1084,-0.08127670516530955,-0.0812767051653007,0.02559312562745804,0.029139723435257225,0.001494630417571437,-0.12813297568039636,-0.03442043465022273,-0.13710545301307256,-0.02544795731754653,0.028484055024368887,0.03657642543377857,0.9916666666666667,0.9833333333333333,0.1826932552435599,3.475503032155152
水生根茎类,固定篮子,对数售价比,1084,-1.1907067501417996,-1.1907067501416861,0.3030526234401745,0.3439588855410222,8.528463504783977e-05,-1.7000175086442755,-0.6813959916393236,-1.7975451006979413,-0.583868399585658,0.3096114033449702,0.357997096925642,0.9916666666666667,1.0,0.1826932552435599,3.475503032155152
茄类,销量加权,半对数加成,1050,-0.02088067261747256,-0.020880672617406015,0.15448115532581486,0.1621614807325632,0.8924802559543308,-0.31473357650800843,0.2729722312730633,-0.37100328150832385,0.3292419362733787,0.17863398412798534,0.1783117513372545,0.6083333333333333,0.575,0.22156276409466769,3.4540548895183774
茄类,销量加权,对数加成,1050,-0.002672220302467856,-0.0026722203023633907,0.27793931783894765,0.28807573341524323,0.9923289353529144,-0.47932333068669486,0.4739788900817592,-0.5705969475687809,0.5652525069638452,0.2897575139113842,0.3010951872252725,0.5,0.575,0.22156276409466769,3.4540548895183774
茄类,销量加权,半对数售价偏离,1050,-0.00906582587054711,-0.009065825870535685,0.02971459511232363,0.029908960736050667,0.760292479876848,-0.06206297980073017,0.043931328059635955,-0.07221137097885033,0.05407971923775612,0.032217114851175115,0.031132140135624816,0.5916666666666667,0.625,0.22156276409466769,3.4540548895183774
茄类,销量加权,对数售价比,1050,-0.002672220302466265,-0.002672220302363515,0.27793931783894654,0.28807573341524373,0.9923289353529189,-0.45671701649518553,0.451372575890253,-0.543661764702302,0.5383173240973694,0.27601507367338557,0.29028735029378405,0.5,0.475,0.22156276409466769,3.4540548895183774
茄类,固定篮子,半对数加成,1049,-0.11418473568201401,-0.11418473568204192,0.15443062334175373,0.16223602562271286,0.45966912357306794,-0.41272179003342446,0.18435231866939641,-0.46988846001560935,0.24151898865158136,0.18148149200693642,0.16100791363693912,0.775,0.6833333333333333,0.21108615102795114,3.429234433017477
茄类,固定篮子,对数加成,1049,-0.11461487361910172,-0.11461487361914567,0.29016096986979384,0.30255123694616276,0.69283960562018,-0.5771722616637367,0.34794251442553326,-0.6657470806510072,0.43651733341280374,0.28118990154689055,0.33865333935641745,0.625,0.6333333333333333,0.21108615102795114,3.429234433017477
茄类,固定篮子,半对数售价偏离,1049,-0.020825559921529645,-0.02082555992153552,0.030780017879822236,0.031786938088629015,0.49866390651906667,-0.06705570363529026,0.02540458379223097,-0.0759082843464359,0.03425716450337662,0.02810343082903381,0.034241189109552234,0.7416666666666667,0.7333333333333333,0.21108615102795114,3.429234433017477
茄类,固定篮子,对数售价比,1049,-0.11461487361910162,-0.11461487361914563,0.29016096986979384,0.3025512369461631,0.6928396056201802,-0.647755343385559,0.41852559614735574,-0.7498460716387103,0.5206163244005071,0.32409755001000445,0.3109671300757858,0.6916666666666667,0.6083333333333333,0.21108615102795114,3.429234433017477
辣椒类,销量加权,半对数加成,1085,-0.06621381954398421,-0.06621381954412035,0.12525700825606617,0.13682154345127123,0.5970665361757996,-0.27331628854041556,0.1408886494524471,-0.3129742081354769,0.18054656904750843,0.1258981574446391,0.1493762645791832,0.7083333333333334,0.7166666666666667,0.2672510879875938,4.30736285254814
辣椒类,销量加权,对数加成,1085,-0.1313697446146909,-0.13136974461494824,0.23478256330296585,0.25036243652953644,0.5757946666337179,-0.5321904752991918,0.2694509860698101,-0.6089433811749474,0.34620389194556556,0.2436600186531921,0.24868176664247327,0.6916666666666667,0.7416666666666667,0.2672510879875938,4.30736285254814
辣椒类,销量加权,半对数售价偏离,1085,-0.025145422060145473,-0.025145422060160856,0.026841825773502057,0.026356363936437324,0.34886145154036347,-0.06674211665156932,0.01645127253127837,-0.07470744114779941,0.024416597027508466,0.0252867444324765,0.03035816966217457,0.85,0.7666666666666667,0.2672510879875938,4.30736285254814
辣椒类,销量加权,对数售价比,1085,-0.13136974461469564,-0.13136974461494816,0.23478256330296945,0.2503624365295317,0.5757946666337102,-0.5074515719520336,0.24471208272264228,-0.5794672410166302,0.3167277517872389,0.22862117163364007,0.2724627255807558,0.7666666666666667,0.7166666666666667,0.2672510879875938,4.30736285254814
辣椒类,固定篮子,半对数加成,1084,-0.016999076732181283,-0.016999076732489998,0.11133089166711482,0.12026507193810991,0.8786430100570928,-0.2040462157823959,0.17004806231803332,-0.23986375304733062,0.20586559958296805,0.11370646750772925,0.1145144714414221,0.6,0.525,0.23272817053630634,4.629099416169742
辣椒类,固定篮子,对数加成,1084,-0.10748419233839929,-0.10748419233895248,0.20339539065185616,0.21802700309725648,0.5971873893141182,-0.433577060883561,0.21860867620676244,-0.4960203761368899,0.2810519914600913,0.1982327468359646,0.2213660831588785,0.6833333333333333,0.5833333333333334,0.23272817053630634,4.629099416169742
辣椒类,固定篮子,半对数售价偏离,1084,-0.02734478363275517,-0.02734478363278388,0.020595741259225666,0.022468567341801367,0.1842801546253459,-0.06399642077206695,0.009306853506556616,-0.07101481937321176,0.016325252107701426,0.022280630479824794,0.026047098999287355,0.925,0.8666666666666667,0.23272817053630634,4.629099416169742
辣椒类,固定篮子,对数售价比,1084,-0.10748419233839539,-0.1074841923389523,0.20339539065185544,0.2180270030972484,0.5971873893141302,-0.45272818040334356,0.23775979572655276,-0.5188387313093974,0.30387034663260665,0.2098747647811235,0.23942962005330684,0.7333333333333333,0.6666666666666666,0.23272817053630634,4.629099416169742
食用菌,销量加权,半对数加成,1085,-0.5879743494335623,-0.5879743494335027,0.16437531982978268,0.18231603096292687,0.0003475292033716402,-0.8785467984464725,-0.2974019004206521,-0.9341883312361787,-0.24176036763094588,0.17663978663398797,0.18645104313659291,1.0,1.0,0.1597336098202249,3.1389138703759425
食用菌,销量加权,对数加成,1085,-0.9302680756695395,-0.9302680756694394,0.2692822871603257,0.29626179515147244,0.0005510681557110995,-1.4067208766852586,-0.4538152746538204,-1.4979565194329494,-0.3625796319061295,0.2896369611037806,0.32610906299987297,0.9916666666666667,1.0,0.1597336098202249,3.1389138703759425
食用菌,销量加权,半对数售价偏离,1085,-0.0857162214522705,-0.08571622145226147,0.03246756241956484,0.035507529563234046,0.008289203902674657,-0.14313347440667745,-0.02829896849786355,-0.15412826752560643,-0.017304175378934555,0.03490410513945711,0.03558064563373899,1.0,0.9916666666666667,0.1597336098202249,3.1389138703759425
食用菌,销量加权,对数售价比,1085,-0.9302680756695402,-0.9302680756694397,0.2692822871603258,0.2962617951514731,0.0005510681557110971,-1.354793796864748,-0.5057423544743322,-1.4360859562425539,-0.4244501950965265,0.2580703472311294,0.33516347070109587,1.0,1.0,0.1597336098202249,3.1389138703759425
食用菌,固定篮子,半对数加成,1084,-0.09931744670660902,-0.09931744670662503,0.08219121590974689,0.08396267414906247,0.22690475341931016,-0.28617277302576916,0.08753787961255113,-0.3219535801932679,0.1233186867800499,0.11358986402380557,0.11073995202326667,0.8916666666666667,0.9166666666666666,0.14830529674922144,3.6594823118297644
食用菌,固定篮子,对数加成,1084,-0.2571065977831987,-0.25710659778324196,0.21074793130672698,0.22395360180753052,0.2224754489643047,-0.6421741446617371,0.12796094909533962,-0.7159104834257124,0.201697287859315,0.2340836151237315,0.2451984192051339,0.8583333333333333,0.8666666666666667,0.14830529674922144,3.6594823118297644
食用菌,固定篮子,半对数售价偏离,1084,-0.01477356568695642,-0.014773565686960678,0.02262746718542629,0.02488019791507335,0.5138181173072649,-0.06107195685919345,0.031524825485280614,-0.06993760623260054,0.0403904748586877,0.028144918645736795,0.025626567958758388,0.725,0.725,0.14830529674922144,3.6594823118297644
食用菌,固定篮子,对数售价比,1084,-0.2571065977831965,-0.25710659778324213,0.21074793130672617,0.22395360180752966,0.22247544896430702,-0.5912718117013991,0.07705861613500614,-0.6552608952176506,0.14104769965125769,0.2031399476706399,0.256122544478764,0.9416666666666667,0.9,0.14830529674922144,3.6594823118297644
