品类,成本口径,成本预测方法,池化加权绝对百分比误差,折均加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度,回测折数,是否入选
茄类,固定篮子成本,同星期最近4次统计,0.1457835519489547,0.14738234691497523,0.7669640199898284,0.2612551217421927,0.48979591836734687,0.9387755102040817,3.3010924400033472,21,否
茄类,固定篮子成本,同星期最近8次统计,0.20134843141504888,0.20831534101930038,1.0592896133495486,0.2589790375257047,0.42857142857142855,0.7755102040816326,3.3010924400033472,21,否
茄类,固定篮子成本,指数加权移动平均加周内收缩,0.12732490382302522,0.13249566309834593,0.669853483300493,0.2088405270713675,0.40816326530612246,0.9863945578231293,3.3010924400033472,21,否
茄类,固定篮子成本,阻尼趋势,0.08900880651906595,0.09148187263522309,0.4682733487400747,0.1948691930792543,0.4693877551020408,1.0,3.3010924400033472,21,是
茄类,固定篮子成本,指数平滑,0.1048745727048997,0.11002765082135649,0.551742791289852,0.19679478338699538,0.44217687074829937,1.0,3.3010924400033472,21,否
茄类,固定篮子成本,滞后稳健回归,0.08928425467054643,0.09063770442339944,0.4697224753303789,0.19679478338699538,0.3877551020408163,1.0,3.3010924400033472,21,否
辣椒类,销量加权成本,近7日均值,0.13202344575702735,0.13255625882000205,0.5792282411579704,0.30950644946347183,0.5454545454545454,0.8506493506493507,2.658697647504746,22,否
辣椒类,销量加权成本,近14日均值,0.1400400337405887,0.13956320780465,0.6143995255550773,0.30950644946347183,0.4935064935064935,0.8311688311688311,2.6586976475047455,22,否
辣椒类,销量加权成本,近7日中位数,0.13588641379887242,0.13579153757000778,0.5961762928596759,0.30950644946347183,0.43506493506493504,0.8571428571428572,2.6586976475047464,22,否
辣椒类,销量加权成本,近14日中位数,0.1402908813015933,0.13904232539188605,0.6155000724369306,0.30950644946347183,0.48701298701298706,0.8311688311688311,2.6586976475047464,22,否
辣椒类,销量加权成本,指数加权移动平均,0.12622670518081433,0.12785888417125382,0.5537961231795607,0.30950644946347183,0.5,0.8571428571428572,2.6586976475047464,22,是
辣椒类,销量加权成本,同星期最近4次统计,0.1593940522321409,0.15405361609181967,0.6993116714691591,0.37765433117173436,0.448051948051948,0.8376623376623378,2.6586976475047464,22,否
辣椒类,销量加权成本,同星期最近8次统计,0.15796487890414285,0.14846162113759673,0.6930414400845786,0.34714943344634497,0.5389610389610389,0.8246753246753248,2.6586976475047464,22,否
辣椒类,销量加权成本,指数加权移动平均加周内收缩,0.13146226078624965,0.129476529411442,0.576766146779779,0.30933378436973075,0.46753246753246747,0.8701298701298701,2.6586976475047464,22,否
辣椒类,销量加权成本,阻尼趋势,0.12920558248102618,0.1311240379729001,0.5668653916669368,0.3110410161306966,0.5064935064935066,0.8571428571428572,2.6586976475047464,22,否
辣椒类,销量加权成本,指数平滑,0.12725867818051215,0.12870812225763248,0.558323712215811,0.30950644946347183,0.5,0.8571428571428572,2.658697647504747,22,否
辣椒类,销量加权成本,滞后稳健回归,0.12630958366966394,0.1275960469751013,0.5541597370895819,0.30950644946347183,0.5064935064935064,0.8701298701298701,2.6586976475047455,22,否
辣椒类,固定篮子成本,近7日均值,0.15108058476946506,0.15462496994719077,0.722508878411293,0.19916272298161372,0.49350649350649345,0.8831168831168831,3.612692968803,22,否
辣椒类,固定篮子成本,近14日均值,0.17750239226225178,0.1786658917008771,0.8488652234462418,0.19916272298161372,0.4285714285714285,0.857142857142857,3.612692968803,22,否
辣椒类,固定篮子成本,近7日中位数,0.15194431649449447,0.15451838168855897,0.7266394809030126,0.19916272298161372,0.44155844155844154,0.8831168831168832,3.612692968803,22,否
辣椒类,固定篮子成本,近14日中位数,0.18517644610124998,0.18649808248673014,0.8855646579933282,0.19916272298161372,0.47402597402597396,0.8376623376623376,3.612692968803,22,否
辣椒类,固定篮子成本,指数加权移动平均,0.14172167955984824,0.14481489274649095,0.6777520215558878,0.19916272298161372,0.5584415584415585,0.8961038961038962,3.612692968802999,22,否
辣椒类,固定篮子成本,同星期最近4次统计,0.20399693638668523,0.20066674715241034,0.975569415044207,0.2899215444164753,0.409090909090909,0.8051948051948052,3.612692968802999,22,否
辣椒类,固定篮子成本,同星期最近8次统计,0.22149418637279733,0.20365666307565625,1.059246073312629,0.2576867717354325,0.44155844155844154,0.8441558441558441,3.612692968803,22,否
辣椒类,固定篮子成本,指数加权移动平均加周内收缩,0.1538774843051559,0.15141896210005973,0.735884420673355,0.20321729346790082,0.448051948051948,0.9090909090909091,3.612692968803,22,否
辣椒类,固定篮子成本,阻尼趋势,0.1353288327193294,0.13835015289274427,0.6471796709944543,0.2007863263829911,0.512987012987013,0.9285714285714287,3.612692968802999,22,否
辣椒类,固定篮子成本,指数平滑,0.14451426279374052,0.14737946614877062,0.6911069220764837,0.19916272298161372,0.49350649350649345,0.8961038961038962,3.612692968802999,22,否
辣椒类,固定篮子成本,滞后稳健回归,0.1311083373906968,0.13396468458720595,0.6269961023983737,0.19916272298161372,0.42207792207792205,0.922077922077922,3.612692968802999,22,否
