品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,2023-05-05,通过,0.05179359594167871,0.1847878171477568,0.26923581957548426,1.0,1.0,1.2473623965755027
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,2023-05-12,通过,0.04837413360554852,0.16453807141767365,0.11816181484064099,0.0,1.0,1.3279960291618582
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,2023-05-19,通过,0.06528054742871225,0.20605435821544424,0.2008738058893059,0.42857142857142855,1.0,1.1898354203938908
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,2023-05-26,通过,0.08890744680325574,0.3046289335819417,0.07777528895116943,0.0,1.0,1.1208670214055712
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,2023-06-02,通过,0.023131520273322725,0.08136120691566408,0.05910632381045233,0.14285714285714285,1.0,1.107090646906527
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,2023-06-09,通过,0.03610640841377293,0.12714494200301957,0.13994239001443018,0.0,1.0,1.005929330528291
花叶类,销量加权成本,近7日中位数,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,2023-06-16,通过,0.11134923811048804,0.35400207054522426,0.149622701800565,0.14285714285714285,0.7142857142857143,0.91889961563699
花叶类,销量加权成本,近14日中位数,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.08950428122796614,0.3956060804211904,0.2944346827205866,0.5714285714285714,1.0,1.7767867992810424
花叶类,销量加权成本,近14日中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.04884760480809284,0.17569439011076865,0.07855533571947786,0.8571428571428571,1.0,1.0931504375332022
花叶类,销量加权成本,近14日中位数,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.09303265987239531,0.4148181008273548,0.2201708836981456,0.5714285714285714,0.8571428571428571,1.476587396282321
花叶类,销量加权成本,近14日中位数,八折主要回测,2021-12-31,2022-01-01,2022-01-07,547,7,2021-12-31,通过,0.11049492204328147,0.2542579944267312,0.18173613565139016,1.0,1.0,3.1123911416924908
花叶类,销量加权成本,近14日中位数,八折主要回测,2022-03-31,2022-04-01,2022-04-07,636,7,2022-03-31,通过,0.12725589820512775,0.4663223433698894,0.2237523330472885,0.5714285714285714,1.0,2.4237621865875134
花叶类,销量加权成本,近14日中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,通过,0.08474955110554017,0.25229966650549834,0.1898156077453026,0.8571428571428571,1.0,2.0667303022674695
花叶类,销量加权成本,近14日中位数,八折主要回测,2022-09-30,2022-10-01,2022-10-07,819,7,2022-09-30,通过,0.18859784135670532,0.40840591430856754,0.25845557509103617,0.8571428571428571,1.0,1.6341312454562757
花叶类,销量加权成本,近14日中位数,八折主要回测,2022-12-31,2023-01-01,2023-01-07,905,7,2022-12-31,通过,0.16247815818504735,0.4276192575358075,0.3793437819605762,0.14285714285714285,0.8571428571428571,1.8320350441819255
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-03-17,2023-03-18,2023-03-24,980,7,2023-03-17,通过,0.0886273845718848,0.24573310830757958,0.19036359713544782,0.5714285714285714,1.0,2.2320444232158354
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-03-24,2023-03-25,2023-03-31,987,7,2023-03-24,通过,0.1766105194265637,0.5748266479611868,0.3207136695321012,0.42857142857142855,1.0,2.2574112606570185
花叶类,销量加权成本,近14日中位数,近期滚动回测,2023-03-31,2023-04-01,2023-04-07,994,7,2023-03-31,通过,0.08190535018530293,0.24553065236216806,0.2602504314672002,0.5714285714285714,1.0,1.7233678123480973
