口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,987,7,2023-04-28,否,通过,0.49954678375891626,15.667357142857142,16.86654276222605,1.9701293478765756,2.4482737381656534,7.833678571428571,2.840128614059602,0.42857142857142855,24.751474525300317,0.7142857142857143,32.024702248931895
正常销售,茄类,近7日均值,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,987,7,2023-04-28,否,通过,0.4269706935347224,13.391142857142862,15.373762008230592,1.6839013308950321,2.397034300323885,6.695571428571431,1.7744543963829913,0.5714285714285714,28.523991113626014,1.0,38.948992097053384
正常销售,茄类,近14日均值,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,987,7,2023-04-28,否,通过,0.4269706935347223,13.391142857142857,15.373762008230592,1.6839013308950315,2.397034300323885,6.695571428571428,1.7744543963829866,0.5714285714285714,28.523991113626035,1.0,38.9489920970534
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,987,7,2023-04-28,否,通过,0.2461990327257532,7.721575434668187,9.583798372219686,0.9709679965148499,1.81862481010307,3.8607877173340936,1.0981871567757404,1.0,29.16811966878811,1.0,39.21311975366753
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,987,7,2023-04-28,否,通过,0.47396949956896406,14.86517312490993,16.22269978310149,1.8692567972769443,2.161069906415444,7.432586562454965,4.837792621766781,0.2857142857142857,17.23402290829115,0.5714285714285714,24.47467194271811
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.2579409720529956,6.210997514774374,8.944207413315738,0.7807014721638386,1.5871817533175239,3.105498757387187,1.354824549721503,0.8571428571428571,29.38453030467159,1.0,38.5065260454014
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.3067325604850671,7.385857142857142,10.080174158784589,0.9283773710912262,1.6784456441424414,3.692928571428571,1.2192141942428205,0.8571428571428571,26.199177821030112,1.0,33.917007562905624
正常销售,茄类,近7日均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.3096663385075225,7.4565000029709925,9.867707436286,0.9372569407187389,1.6649048862650333,3.7282500014854962,1.758811649162134,0.8571428571428571,28.566300858391006,1.0,38.94599721919527
正常销售,茄类,近14日均值,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.3096663385075225,7.4565000029709925,9.867707436286,0.9372569407187389,1.6649048862650342,3.7282500014854962,1.758811649162134,0.8571428571428571,28.56630085839101,1.0,38.945997219195256
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.26255639330251984,6.322132902387561,7.013026566836634,0.7946708161400237,0.9675821833687352,3.1610664511937805,2.196494692701769,1.0,31.640768760705047,1.0,42.43089592621519
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,994,7,2023-05-05,否,通过,0.2729372873011413,6.572095931965224,8.924196191130838,0.8260903272110893,1.3520251164668504,3.286047965982612,1.4821697490630503,0.7142857142857143,19.01395810832745,1.0,27.48604442558057
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.2399870289449618,4.90499203302224,5.217325566184043,0.6157296275807124,1.127723816142514,2.45249601651112,2.148089125079843,1.0,32.758129412223575,1.0,42.91396425000221
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.2762948207171315,5.647071428571429,6.7409819256120675,0.708883758470358,1.2466008629936616,2.8235357142857147,1.6168013153622691,1.0,28.634021783559312,1.0,37.18600086235837
正常销售,茄类,近7日均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.3529670790522122,7.214142857142856,8.816264393559376,0.9056001446766236,1.2923571428571428,3.607071428571428,1.557042857142857,1.0,28.494,1.0,38.89900000000001
正常销售,茄类,近14日均值,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.3529670790522122,7.214142857142856,8.816264393559376,0.9056001446766236,1.2923571428571432,3.607071428571428,1.557042857142857,1.0,28.494,1.0,38.89900000000001
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.3199130439529411,6.538565599763898,7.9824654877566035,0.820794108237123,0.743492464587118,3.269282799881949,2.549383022013625,0.8571428571428571,31.50752437705483,1.0,42.16063049541014
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1001,7,2023-05-12,否,通过,0.24949827527164636,5.099388320444921,5.998347238891749,0.6401324304501167,0.9504817420445434,2.5496941602224603,1.0257127566906106,1.0,19.761944987351544,1.0,28.230497601755733
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.17354256953462938,4.386437195761643,5.0454365345662655,0.5513301493971858,1.5764597229663762,2.1932185978808216,1.8214544319721866,1.0,33.97914154938563,1.0,44.091493114873096
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.2950076583526912,7.456571428571429,8.917648745205048,0.9372145219991576,1.7029282041462195,3.7282857142857146,1.2644725542669366,1.0,29.674007584131566,1.0,38.43038179585513
正常销售,茄类,近7日均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.3123279745572849,7.894357266627852,10.467694188153047,0.9922397100339563,1.7723796270901597,3.947178633313926,1.3984316491278117,0.8571428571428571,28.42753398172885,1.0,38.83562293711868
正常销售,茄类,近14日均值,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1008,7,2023-05-19,否,通过,0.3123279745572849,7.894357266627852,10.467694188153047,0.9922397100339563,1.772379627090159,3.947178633313926,1.3984316491278117,0.8571428571428571,28.42753398172885,1.0,38.83562293711868
