口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,花菜类,星期加月份及趋势对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,725,7,2022-06-30,是,通过,0.6526091401191078,25.977479741949725,27.49132710861393,1.6522849704323082,3.287060276287151,12.988739870974863,12.605154214354545,0.0,18.864875858033127,0.14285714285714285,25.645202349133125
正常销售,水生根茎类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.45908481599524015,6.845938359666164,9.152968231388671,0.48733704756028035,1.2080932535806341,3.422969179833082,0.771347279727875,0.8571428571428571,18.745353579542446,1.0,23.74834251047609
正常销售,水生根茎类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.42351870479475007,6.315571428571427,8.900111692718083,0.44958218610167966,1.1927545665000938,3.1577857142857133,0.9704896141617189,1.0,21.63244180661813,1.0,26.16167187574923
正常销售,水生根茎类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.6664463284954734,9.938142857142855,10.774370614697505,0.7074596561907203,0.7148684155429998,4.969071428571428,5.176365115120366,0.8571428571428571,58.58719764567655,1.0,73.61514459685691
正常销售,水生根茎类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.6664463284954734,9.938142857142855,10.774370614697508,0.7074596561907203,0.7148684155429998,4.969071428571428,5.176365115120366,0.8571428571428571,58.58719764567654,1.0,73.61514459685692
正常销售,水生根茎类,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.37531413692833815,5.596738026180654,8.318021347993643,0.3984110931697368,0.9584706215371511,2.798369013090327,1.8677946354849706,0.5714285714285714,10.967498597348008,0.7142857142857143,13.367122318082314
正常销售,水生根茎类,星期加月份及趋势对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.3670439626641172,5.473412006099125,8.187484126041095,0.38963196964329844,0.9493525190258982,2.7367060030495627,1.7578371930067156,0.5714285714285714,11.153333475149568,0.7142857142857143,13.608482341364864
正常销售,水生根茎类,同星期最近4次均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.7269101730126939,25.38339170867198,29.361796180959818,1.7739369341676228,3.2594597772724794,12.69169585433599,12.544597057887383,0.2857142857142857,21.864867504451684,0.2857142857142857,27.26258240423002
正常销售,水生根茎类,同星期最近8次中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.8068766185152002,28.175785714285716,31.810722389852852,1.9690854359186378,3.3304792098598246,14.087892857142858,16.6153530760179,0.14285714285714285,15.618170671535767,0.14285714285714285,19.515771411045357
正常销售,水生根茎类,近7日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.44816864877248536,15.649857142857144,20.15914938327366,1.0937017368989628,2.979959253885897,7.824928571428572,3.0857975683973473,0.8571428571428571,54.309077847682765,1.0,68.29067808510807
正常销售,水生根茎类,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.44816864877248536,15.649857142857144,20.15914938327366,1.0937017368989628,2.979959253885897,7.824928571428572,3.0857975683973473,0.8571428571428571,54.30907784768276,1.0,68.29067808510807
正常销售,水生根茎类,星期加月份对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.6014447808690975,21.00219398589994,25.488866496126146,1.4677537201386957,2.9365494913714616,10.50109699294997,9.38862947217068,0.42857142857142855,24.107382750912727,0.42857142857142855,31.445311484683106
正常销售,水生根茎类,星期加月份及趋势对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.764486629769947,26.695545474439506,30.41623296288941,1.8656377618236415,3.15065298008959,13.347772737219753,16.09449136082574,0.14285714285714285,14.046182197753051,0.2857142857142857,19.450132034087193
正常销售,茄类,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.38011043456176524,14.724283602128446,16.934370545687422,1.9022826059089126,2.4520486253941978,7.362141801064223,2.97481308104927,0.7142857142857143,29.471392898303865,0.8571428571428571,40.32871491339919
正常销售,茄类,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.3585326636130965,13.888428571428573,15.671240041189192,1.7942955194789836,2.391268378127283,6.944214285714287,1.8652881546443825,0.7142857142857143,30.59296236438994,1.0,41.196417278921054
正常销售,茄类,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.46197236318749074,17.895357436741943,20.12991845621987,2.3119649212350137,2.6695057381939344,8.947678718370971,4.064456718341602,0.42857142857142855,27.047898109266672,0.7142857142857143,37.85234934702322
正常销售,茄类,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.46197236318749074,17.895357436741943,20.12991845621987,2.3119649212350137,2.6695057381939344,8.947678718370971,4.064456718341599,0.42857142857142855,27.047898109266676,0.7142857142857143,37.85234934702323
正常销售,茄类,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.26742837598223357,10.359334796370067,10.885866933349442,1.3383593337656916,0.9717867971979318,5.179667398185034,2.168927525806373,1.0,31.407143230043054,1.0,39.67904850855768
正常销售,茄类,星期加月份及趋势对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,362,7,2021-06-30,是,通过,0.6075612626804694,23.53501383798724,25.204253728764836,3.0405722046373103,2.829119736778807,11.76750691899362,15.386544615998393,0.0,11.195036683345409,0.0,14.045330096191933
正常销售,茄类,同星期最近4次均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,是,通过,0.4962301713233137,10.348100432678487,11.527402471542418,1.2721115768666853,1.0694658820105223,5.174050216339244,3.520710228609952,0.8571428571428571,42.08016459251597,1.0,53.58261660206025
正常销售,茄类,同星期最近8次中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,726,7,2022-06-30,是,通过,0.5015139682409194,10.458285714285712,11.79277503692106,1.2856568621337499,0.8441526598754736,5.229142857142856,3.7681324569769137,0.8571428571428571,43.91886543748831,1.0,56.10328175210094
