profile,R,seed,step,score,raw_profit,grad_rms
pure,4,11,1,3567.0770931468546,3567.0770931468546,24.85812356603909
pure,4,11,50,4149.8116139647145,4149.8116139647145,0.715803146609767
pure,4,11,100,4175.54916009859,4175.54916009859,0.19190067187017026
pure,4,11,150,4175.90322770475,4175.90322770475,0.07634063768780167
pure,4,11,200,4175.960403917821,4175.960403917821,0.09776289344070747
pure,4,11,250,4175.982205478189,4175.982205478189,0.10213138565958461
pure,4,11,300,4175.990600576543,4175.990600576543,0.08848079964967495
pure,4,11,350,4175.992417496172,4175.992417496172,0.12090619473419055
pure,4,11,400,4175.993619185029,4175.993619185029,0.0878342733925077
pure,4,11,450,4175.995401008929,4175.995401008929,0.10767089751614967
pure,4,11,500,4175.993622010466,4175.993622010466,0.08121388426510866
pure,4,11,550,4175.996692640615,4175.996692640615,0.17138987230985878
pure,4,11,600,4175.9947286287925,4175.9947286287925,0.1388511345295686
pure,4,11,650,4175.995244395938,4175.995244395938,0.10811908488275458
pure,4,11,700,4175.995871969072,4175.995871969072,0.08981685589982275
pure,4,11,750,4175.994197129185,4175.994197129185,0.07191229831139893
pure,4,29,1,3575.503229358009,3575.503229358009,24.39845714344874
pure,4,29,50,4149.615044714407,4149.615044714407,0.7096747900282528
pure,4,29,100,4175.504143566412,4175.504143566412,0.14026235965482858
pure,4,29,150,4175.890743392192,4175.890743392192,0.1782276218219859
pure,4,29,200,4175.956166934714,4175.956166934714,0.08462407642166515
pure,4,29,250,4175.979406559891,4175.979406559891,0.10677289636424984
pure,4,29,300,4175.987757564574,4175.987757564574,0.09195334077715264
pure,4,29,350,4175.990118820647,4175.990118820647,0.08967193275906905
pure,4,29,400,4175.993210612862,4175.993210612862,0.10383356783640683
pure,4,29,450,4175.993909884206,4175.993909884206,0.08209308862235222
pure,4,29,500,4175.99475476025,4175.99475476025,0.09038059789707419
pure,4,29,550,4175.994715135045,4175.994715135045,0.09896131289752817
pure,4,29,600,4175.995489204336,4175.995489204336,0.12336131559803418
pure,4,29,650,4175.995181788219,4175.995181788219,0.09238584278627068
pure,4,29,700,4175.99415713152,4175.99415713152,0.13453291733939565
pure,4,29,750,4175.995973388875,4175.995973388875,0.08054839872925536
pure,4,47,1,3573.287166369846,3573.287166369846,24.779306675520353
pure,4,47,50,4149.9871740196795,4149.9871740196795,0.7038212775346891
pure,4,47,100,4175.440794492843,4175.440794492843,0.11453596180485758
pure,4,47,150,4175.797811854222,4175.797811854222,0.17341310259842443
pure,4,47,200,4175.855938755892,4175.855938755892,0.09513027394433252
pure,4,47,250,4175.878442120731,4175.878442120731,0.0727823987854026
pure,4,47,300,4175.886097770728,4175.886097770728,0.0914746886925592
pure,4,47,350,4175.889679138581,4175.889679138581,0.08812620644064044
pure,4,47,400,4175.890349265879,4175.890349265879,0.08325477055703563
pure,4,47,450,4175.89181237349,4175.89181237349,0.18292812814715612
