分类,模型,变量,系数,经典标准误,经典p值,稳健标准误,稳健p值,稳健95%下限,稳健95%上限
花菜类,线性模型,月份_09,-2.2363503181506337,2.8686255917943795,0.435805920841336,6.36846872886892,0.7255379738046484,-14.732534553745488,10.259833917444222
花菜类,线性模型,月份_10,0.932947241238242,2.864214983197186,0.7446962576482075,5.7895259458562744,0.8720105945706744,-10.427237747693288,12.293132230169773
花菜类,线性模型,月份_11,-6.231522997307409,2.8944660964532662,0.03155006370151432,6.312224831194287,0.32376169090250095,-18.61734567859579,6.154299683980972
花菜类,线性模型,月份_12,-15.682345312708701,2.884847173062372,6.751708465610904e-08,5.057439804890858,0.001980447230447406,-25.606033761685595,-5.758656863731806
花菜类,线性模型,星期_2,-0.6501741006206272,2.179297484538832,0.7655010568383367,1.328720743153324,0.6247136406241276,-3.2573847050840037,1.9570365038427493
花菜类,线性模型,星期_3,0.07965224907463364,2.180641432711605,0.9708690165816432,1.6046490399772142,0.960419842809139,-3.068983771720752,3.2282882698700193
花菜类,线性模型,星期_4,-0.8575617745029543,2.1808150918505596,0.6942284384764543,1.68902606492391,0.6117510200730119,-4.171762061038648,2.456638512032739
花菜类,线性模型,星期_5,3.740496465906129,2.184581756831677,0.08714650898558579,1.9301242674646772,0.052892855301225464,-0.046785763257755075,7.527778695070014
花菜类,线性模型,星期_6,14.198226282427054,2.1838506637783595,1.220671870934969e-10,1.8310456245760827,2.072347383738562e-14,10.605355775776014,17.791096789078093
花菜类,线性模型,星期_7,13.48427935299816,2.1761610945207313,8.24750289932408e-10,1.8882570692090657,1.712899805619967e-12,9.779148775212992,17.189409930783327
花菜类,对数模型,截距,5.931130634552286,0.200144762331676,3.330080305449857e-141,0.30993756193334526,2.206841398726479e-70,5.322972372285361,6.539288896819211
花菜类,对数模型,日平均售价,-1.0673360170463393,0.08090815503021635,6.492458988991072e-37,0.11864722875217151,1.051735759738021e-18,-1.300145141602287,-0.8345268924903916
花菜类,对数模型,月份_02,-0.18637489682403174,0.0996438840580375,0.06170130816167612,0.1468865821936473,0.2047772780427543,-0.4745951693846954,0.10184537573663194
花菜类,对数模型,月份_03,-0.7509048395261807,0.09645463611194727,1.6452531825665776e-14,0.2314145915772623,0.001211740936302009,-1.2049856388941018,-0.29682404015825964
花菜类,对数模型,月份_04,-0.658401022583912,0.09700243576531374,1.8923141149883842e-11,0.1526259569072906,1.7538135705754197e-05,-0.9578830735833526,-0.35891897158447134
花菜类,对数模型,月份_05,-0.6424486687623245,0.09700104255321315,5.571786305851627e-11,0.16645089753443587,0.00012036686300140205,-0.9690579637631109,-0.31583937376153814
