profile,R,seed,step,score,raw_profit,grad_rms
pure,4,29,100,4276.129021657864,4276.129021657864,0.25713584192351463
pure,4,29,150,4276.1286451948035,4276.1286451948035,0.31442772953319825
pure,4,29,200,4276.1182482185395,4276.1182482185395,0.3359457043464853
pure,4,29,250,4276.1061968621725,4276.1061968621725,0.4497799108148079
pure,4,29,300,4276.108914028929,4276.108914028929,0.39390189102810597
pure,4,29,350,4276.126382983108,4276.126382983108,0.29877924542702045
pure,4,29,400,4276.113954128628,4276.113954128628,0.3680460865009399
pure,4,29,450,4276.134520201972,4276.134520201972,0.24759819823997783
pure,4,29,500,4276.1215232878185,4276.1215232878185,0.31175960178398715
pure,4,29,550,4276.122275290589,4276.122275290589,0.32800402179250804
pure,4,29,600,4276.1216084495945,4276.1216084495945,0.29243183569326064
pure,4,29,650,4276.131244555764,4276.131244555764,0.2411350087885419
pure,4,29,700,4276.1341871251425,4276.1341871251425,0.24875657103079718
pure,4,29,750,4276.138077610841,4276.138077610841,0.2084325017557786
pure,4,47,1,4274.706296417802,4274.706296417802,1.8723716808652264
pure,4,47,50,4276.043823756715,4276.043823756715,0.5720505536829869
pure,4,47,100,4276.123108081121,4276.123108081121,0.31116305808588973
pure,4,47,150,4276.12624946985,4276.12624946985,0.3009325446914062
pure,4,47,200,4276.113166076426,4276.113166076426,0.3527280965326788
pure,4,47,250,4276.110060429223,4276.110060429223,0.40319999173569016
pure,4,47,300,4276.0989224978475,4276.0989224978475,0.3382316831972788
pure,4,47,350,4276.116707738567,4276.116707738567,0.34940236902701
pure,4,47,400,4276.1134456001155,4276.1134456001155,0.38385384846915727
pure,4,47,450,4276.112004289364,4276.112004289364,0.39112110233355535
pure,4,47,500,4276.1262051856675,4276.1262051856675,0.33825279374067224
pure,4,47,550,4276.122135581849,4276.122135581849,0.28125977936692076
